ID,Station_Code,State,County,latitude,longitude,elevation
1,KABR,SD, BROWN,45.455833,-98.413333,1383
2,KABX,NM, BERNALILLO,35.149722,-106.82388,5951
3,KAKQ,VA, SUSSEX,36.98405,-77.007361,255
4,KAMA,TX, POTTER,35.233333,-101.70927,3703
5,KAMX,FL, MIAMI-DADE,25.611083,-80.412667,111
6,KAPX,MI, ANTRIM,44.90635,-84.719533,1561
7,KARX,WI, LA CROSSE,43.822778,-91.191111,1357
8,KATX,WA, ISLAND,48.194611,-122.49569,642
9,KBBX,CA, BUTTE,39.495639,-121.63161,221
10,KBGM,NY, BROOME,42.199694,-75.984722,1703
11,KBHX,CA, HUMBOLDT,40.498583,-124.29216,2516
12,KBIS,ND, BURLEIGH,46.770833,-100.76055,1755
13,KBLX,MT, YELLOWSTONE,45.853778,-108.6068,3703
14,KBMX,AL, SHELBY,33.172417,-86.770167,759
15,KBOX,MA, BRISTOL,41.955778,-71.136861,232
16,KBRO,TX, CAMERON,25.916,-97.418967,88
17,KBUF,NY, ERIE,42.948789,-78.736781,790
18,KBYX,FL, MONROE,24.5975,-81.703167,89
19,KCAE,SC, LEXINGTON,33.948722,-81.118278,345
20,KCBW,ME, AROOSTOOK,46.03925,-67.806431,860
21,KCBX,ID, ADA,43.490217,-116.23603,3172
22,KCCX,PA, CENTRE,40.923167,-78.003722,2486
23,KCLE,OH, CUYAHOGA,41.413217,-81.859867,860
24,KCLX,SC, BEAUFORT,32.655528,-81.042194,229
25,KCRI,OK, CLEVELAND,35.238333,-97.46,1315
26,KCRP,TX, NUECES,27.784017,-97.51125,142
27,KCXX,VT, CHITTENDEN,44.511,-73.166431,431
28,KCYS,WY, LARAMIE,41.151919,-104.80603,6193
29,KDAX,CA, YOLO,38.501111,-121.67783,144
30,KDDC,KS, FORD,37.760833,-99.968889,2671
31,KDFX,TX, KINNEY,29.273139,-100.28033,1196
32,KDGX,MS, RANKIN,32.279944,-89.984444,609
33,KDIX,NJ, BURLINGTON,39.947089,-74.410731,230
34,KDLH,MN, ST. LOUIS,46.836944,-92.209722,1542
35,KDMX,IA, POLK,41.7312,-93.722869,1095
36,KDOX,DE, SUSSEX,38.825767,-75.440117,164
37,KDTX,MI, OAKLAND,42.7,-83.471667,1216
38,KDVN,IA, SCOTT,41.611667,-90.580833,851
39,KDYX,TX, SHACKELFORD,32.5385,-99.254333,1582
40,KEAX,MO, CASS,38.81025,-94.264472,1092
41,KEMX,AZ, PIMA,31.89365,-110.63025,5319
42,KENX,NY, ALBANY,42.586556,-74.064083,1935
43,KEOX,AL, DALE,31.460556,-85.459389,537
44,KEPZ,NM, DONA ANA,31.873056,-106.698,4218
45,KESX,NV, CLARK,35.70135,-114.89165,4948
46,KEVX,FL, WALTON,30.565033,-85.921667,221
47,KEWX,TX, COMAL,29.704056,-98.028611,767
48,KEYX,CA, SANTA BARBARA,35.09785,-117.56075,2873
49,KFCX,VA, FLOYD,37.0244,-80.273969,2965
50,KFDR,OK, TILLMAN,34.362194,-98.976667,1315
51,KFDX,NM, CURRY,34.634167,-103.61888,4698
52,KFFC,GA, FAYETTE,33.36355,-84.56595,972
53,KFSD,SD, MINNEHAHA,43.587778,-96.729444,1495
54,KFSX,AZ, COCONINO,34.574333,-111.19844,7514
55,KFTG,CO, ARAPAHOE,39.786639,-104.5458,5611
56,KFWS,TX, TARRANT,32.573,-97.30315,777
57,KGGW,MT, VALLEY,48.206361,-106.62469,2384
58,KGJX,CO, MESA,39.062169,-108.21376,10101
59,KGLD,KS, SHERMAN,39.366944,-101.70027,3716
60,KGRB,WI, BROWN,44.498633,-88.111111,823
61,KGRK,TX, BELL,30.721833,-97.382944,603
62,KGRR,MI, KENT,42.893889,-85.544889,875
63,KGSP,SC, SPARTANBURG,34.883306,-82.219833,1069
64,KGWX,MS, MONROE,33.896917,-88.329194,590
65,KGYX,ME, CUMBERLAND,43.891306,-70.256361,474
66,KHDX,NM, DONA ANA,33.077,-106.12003,4270
67,KHGX,TX, GALVESTON,29.4719,-95.078733,115
68,KHNX,CA, KINGS,36.314181,-119.63213,340
69,KHPX,KY, TODD,36.736972,-87.285583,613
70,KHTX,AL, JACKSON,34.930556,-86.083611,1859
71,KICT,KS, SEDGWICK,37.654444,-97.443056,1400
72,KICX,UT, IRON,37.59105,-112.86218,10757
73,KILN,OH, CLINTON,39.420483,-83.82145,1170
74,KILX,IL, LOGAN,40.1505,-89.336792,731
75,KIND,IN, MARION,39.7075,-86.280278,887
76,KINX,OK, ROGERS,36.175131,-95.564161,749
77,KIWA,AZ, MARICOPA,33.289233,-111.66991,1426
78,KIWX,IN, KOSCIUSKO,41.358611,-85.7,1056
79,KJAX,FL, DUVAL,30.484633,-81.7019,160
80,KJGX,GA, TWIGGS,32.675683,-83.350833,618
81,KJKL,KY, BREATHITT,37.590833,-83.313056,1461
82,KLBB,TX, LUBBOCK,33.654139,-101.81416,3378
83,KLCH,LA, CALCASIEU,30.125306,-93.215889,137
84,KLGX,WA, GRAYS HARBOR,47.116944,-124.10666,366
85,KLIX,LA, ST. TAMMANY,30.336667,-89.825417,179
86,KLNX,NE, LOGAN,41.957944,-100.57622,3113
87,KLOT,IL, WILL,41.604444,-88.084444,760
88,KLRX,NV, LANDER,40.73955,-116.8027,6895
89,KLSX,MO, ST. CHARLES,38.698611,-90.682778,722
90,KLTX,NC, BRUNSWICK,33.98915,-78.429108,145
91,KLVX,KY, HARDIN,37.975278,-85.943889,833
92,KLWX,VA, LOUDOUN,38.976111,-77.4875,404
93,KLZK,AR, PULASKI,34.8365,-92.262194,649
94,KMAF,TX, MIDLAND,31.943461,-102.18925,2962
95,KMAX,OR, JACKSON,42.081169,-122.71736,7561
96,KMBX,ND, MCHENRY,48.393056,-100.86444,1590
97,KMHX,NC, CARTERET,34.775908,-76.876189,145
98,KMKX,WI, WAUKESHA,42.9679,-88.550667,1023
99,KMLB,FL, BREVARD,28.113194,-80.654083,149
100,KMOB,AL, MOBILE,30.679444,-88.24,289
101,KMPX,MN, CARVER,44.848889,-93.565528,1101
102,KMQT,MI, MARQUETTE,46.531111,-87.548333,1525
103,KMRX,TN, HAMBLEN,36.168611,-83.401944,1434
104,KMSX,MT, MISSOULA,47.041,-113.98622,7978
105,KMTX,UT, SALT LAKE,41.262778,-112.44777,6594
106,KMUX,CA, SANTA CLARA,37.155222,-121.89844,3550
107,KMVX,ND, TRAILL,47.527778,-97.325556,1083
108,KMXX,AL, TALLAPOOSA,32.53665,-85.78975,560
109,KNKX,CA, SAN DIEGO,32.919017,-117.0418,1052
110,KNQA,TN, SHELBY,35.344722,-89.873333,435
111,KOAX,NE, DOUGLAS,41.320369,-96.366819,1262
112,KOHX,TN, WILSON,36.247222,-86.5625,676
113,KOKX,NY, SUFFOLK,40.865528,-72.863917,199
114,KOTX,WA, SPOKANE,47.680417,-117.62677,2449
115,KOUN,OK, CLEVELAND,35.236058,-97.46235,1284
116,KPAH,KY, MCCRACKEN,37.068333,-88.771944,506
117,KPBZ,PA, ALLEGHENY,40.531717,-80.217967,1266
118,KPDT,OR, UMATILLA,45.69065,-118.85293,1580
119,KPOE,LA, VERNON,31.155278,-92.976111,473
120,KPUX,CO, PUEBLO,38.45955,-104.18135,5363
121,KRAX,NC, WAKE,35.665519,-78.48975,462
122,KRGX,NV, WASHOE,39.754056,-119.46202,8396
123,KRIW,WY, FREMONT,43.066089,-108.4773,5633
124,KRLX,WV, KANAWHA,38.311111,-81.722778,1213
125,KRTX,OR, WASHINGTON,45.715039,-122.965,1728
126,KSFX,ID, BINGHAM,43.1056,-112.68613,4539
127,KSGF,MO, GREENE,37.235239,-93.400419,1375
128,KSHV,LA, CADDO,32.450833,-93.84125,387
129,KSJT,TX, TOM GREEN,31.371278,-100.4925,2004
130,KSOX,CA, ORANGE,33.817733,-117.636,3106
131,KSRX,AR, SEBASTIAN,35.290417,-94.361889,737
132,KTBW,FL, HILLSBOROUGH,27.7055,-82.401778,122
133,KTFX,MT, CASCADE,47.459583,-111.38533,3805
134,KTLH,FL, LEON,30.397583,-84.328944,177
135,KTLX,OK, OKLAHOMA,35.333361,-97.277761,1278
136,KTWX,KS, WABAUNSEE,38.99695,-96.23255,1415
137,KTYX,NY, LEWIS,43.755694,-75.679861,1960
138,KUDX,SD, PENNINGTON,44.124722,-102.83,3195
139,KUEX,NE, WEBSTER,40.320833,-98.441944,2057
140,KVAX,GA, LANIER,30.890278,-83.001806,330
141,KVBX,CA, SANTA BARBARA,34.83855,-120.39791,1354
142,KVNX,OK, ALFALFA,36.740617,-98.127717,1258
143,KVTX,CA, VENTURA,34.412017,-119.17875,2807
144,KVWX,IN, GIBSON,38.26025,-87.724528,625
145,KYUX,AZ, PIMA,32.495281,-114.65671,239
146,PABC,AK, BETHEL,60.791944,-161.87638,193
147,PACG,AK, SITKA BOROUGH,56.852778,-135.52916,272
148,PAEC,AK, NOME,64.511389,-165.295,90
149,PAHG,AK, KENAI PENINSULA BOROUGH,60.725914,-151.35146,356
150,PAIH,AK, CHUGACH CENSUS AREA,59.460767,-146.30344,132
151,PAKC,AK, BRISTOL BAY BOROUGH,58.679444,-156.62944,144
152,PAPD,AK, FAIRBANKS NORTH STAR BOROUGH,65.035114,-147.50143,2707
153,PHKI,HI, KAUAI,21.893889,-159.5525,340
154,PHKM,HI, HAWAII,20.125278,-155.77777,3966
155,PHMO,HI, HAWAII,21.132778,-157.18027,1444
156,PHWA,HI, HAWAII,19.095,-155.56888,1461
157,TJUA,PR, SAN JUAN,18.115667,-66.078167,2958
